t_s,l_shoulder_pitch_rad,l_shoulder_roll_rad,l_shoulder_yaw_rad,l_elbow_rad
0,0.0184804,0.00016703,-0.00031732,0.000325072
0.0200021,0.0234059,0.000164942,-0.000320447,0.000379113
0.0400023,0.0270701,0.000146357,-0.000487421,0.0004466
0.0600004,0.0310561,-0.000199397,-0.00107634,0.00152922
0.0800082,0.0358178,-0.000238917,-0.00231243,0.00214435
0.100007,0.0400779,-0.00120308,-0.00535601,0.00222012
0.120002,0.043383,-0.00250802,-0.0126074,0.00217353
0.140008,0.0461851,-0.00524539,-0.0250687,0.00224794
0.16,0.048083,-0.00988938,-0.0413475,0.00222847
0.180001,0.0487084,-0.0163869,-0.0613032,0.00226779
0.200011,0.0485748,-0.0247093,-0.0845125,0.00224715
0.220004,0.0483156,-0.0351631,-0.110589,0.00221555
0.239998,0.0476503,-0.0479619,-0.138315,0.00211319
0.26001,0.0468148,-0.063626,-0.167476,0.00211218
0.28001,0.0460648,-0.0810195,-0.198194,0.00203646
0.300019,0.0456053,-0.100116,-0.230179,0.00201661
0.320016,0.0455404,-0.12095,-0.263714,0.00191392
0.340006,0.0456839,-0.142628,-0.298576,0.00191665
0.360003,0.0458757,-0.164971,-0.33358,0.00190115
0.380012,0.0474612,-0.187733,-0.367921,0.00197264
0.400005,0.049431,-0.210485,-0.402193,0.00189343
0.42,0.0519968,-0.232704,-0.435215,0.00181658
0.440009,0.0550121,-0.252901,-0.466491,0.00182905
0.460004,0.0586651,-0.2721,-0.495812,0.00177393
0.479999,0.0628999,-0.28904,-0.524158,0.0017758
0.499998,0.0685816,-0.303152,-0.551714,0.00165794
0.520008,0.0747913,-0.31389,-0.576869,0.00168517
0.539999,0.0824628,-0.320573,-0.598745,0.00164607
0.560011,0.0921265,-0.323321,-0.616567,0.00157997
0.580011,0.102443,-0.323273,-0.629909,0.00154552
0.599995,0.113058,-0.323152,-0.640383,0.00113348
0.620005,0.123512,-0.322866,-0.650781,0.000221633
0.639999,0.13436,-0.322816,-0.661391,-0.000342412
0.660004,0.144752,-0.322955,-0.672207,-0.000477347
0.680004,0.15397,-0.322901,-0.682495,-0.000410235
0.700008,0.163522,-0.322885,-0.693017,-0.000445888
0.720001,0.171369,-0.322909,-0.703758,-0.000475212
0.740005,0.180246,-0.322901,-0.714109,-0.000423418
0.760009,0.188149,-0.322839,-0.724729,-0.000410684
0.780001,0.197529,-0.322814,-0.736564,-0.000466186
0.800012,0.206486,-0.32263,-0.748559,-0.000443042
0.820001,0.21532,-0.322634,-0.757966,-0.000482889
0.840004,0.222499,-0.322642,-0.762618,-0.000500604
0.860007,0.228569,-0.322619,-0.764964,-0.000530339
0.880002,0.234205,-0.320932,-0.767839,-0.000458472
0.900008,0.239143,-0.318406,-0.773016,-0.000415553
0.920003,0.24371,-0.314485,-0.779967,-0.000385892
0.940003,0.246563,-0.307874,-0.787813,-0.000451356
0.960003,0.248805,-0.298723,-0.795529,-0.000495697
0.980002,0.251382,-0.286875,-0.802688,-0.000435402
1.00001,0.25349,-0.272239,-0.809603,-0.00043087
1.02,0.255704,-0.254272,-0.814129,-0.000345295
1.04,0.258706,-0.232843,-0.816665,-0.000380087
1.06,0.262925,-0.20969,-0.81651,-0.000353085
1.08001,0.26749,-0.186659,-0.816479,-0.000295935
1.1,0.27232,-0.165225,-0.816512,-0.000318294
1.12001,0.277702,-0.1458,-0.816455,-0.000270432
1.14,0.282397,-0.128715,-0.816475,-0.000263166
1.16001,0.286319,-0.114947,-0.81649,-0.000205492
1.18001,0.289925,-0.103739,-0.816509,-0.000212158
1.2,0.294178,-0.0949614,-0.816523,-0.000156244
1.22,0.299052,-0.0890947,-0.816555,-0.000126771
1.24,0.304084,-0.086872,-0.816638,-0.000176318
1.26002,0.308032,-0.0863336,-0.816626,-0.000172011
1.28001,0.311401,-0.0863301,-0.81664,-0.000167667
1.30001,0.314422,-0.0863184,-0.816599,-0.000153773
1.32001,0.316852,-0.0863418,-0.816617,-7.82345e-05
1.34,0.319553,-0.086312,-0.816745,-5.75243e-05
1.36002,0.322411,-0.0858661,-0.817432,-1.84632e-05
1.38001,0.325032,-0.0857991,-0.820321,8.99566e-05
1.4,0.328233,-0.0858314,-0.823708,0.000236801
1.42001,0.33245,-0.0858162,-0.823739,0.00024901
1.44,0.334576,-0.0851821,-0.823861,0.000238224
1.46002,0.336123,-0.0816625,-0.823873,0.000228412
1.48002,0.338142,-0.0764627,-0.823814,0.000354621
1.50001,0.340441,-0.0736105,-0.823812,0.00251519
1.52,0.343896,-0.0732746,-0.82378,0.0051482
1.54001,0.346126,-0.0729923,-0.823786,0.00527617
1.56001,0.345564,-0.0729357,-0.823737,0.00525205
1.58001,0.34414,-0.0729328,-0.82374,0.00524606
1.60001,0.343745,-0.0728882,-0.823771,0.00527295
1.62,0.344362,-0.0717401,-0.82378,0.00526928
1.64,0.34433,-0.070418,-0.823814,0.00526703
1.66001,0.344201,-0.0704547,-0.823802,0.00528336
1.68001,0.343847,-0.0702548,-0.823896,0.00519842
1.70001,0.343272,-0.066848,-0.825634,0.0050694
1.72001,0.342487,-0.0607925,-0.830436,0.0050585
1.74001,0.342635,-0.0565582,-0.839066,0.0050927
1.76001,0.342747,-0.0556055,-0.851992,0.00508839
1.78001,0.342875,-0.0556098,-0.869579,0.00513726
1.80001,0.343265,-0.055589,-0.889765,0.00517415
1.82001,0.344008,-0.0557148,-0.907936,0.00520243
1.84001,0.344332,-0.0556489,-0.919467,0.00527733
1.86,0.344885,-0.0555868,-0.92422,0.00521265
1.88,0.344997,-0.0556884,-0.926142,0.00519913
1.9,0.345169,-0.0556188,-0.928053,0.00523992
1.92,0.345196,-0.0556165,-0.930392,0.00523085
1.94,0.345559,-0.0555904,-0.934761,0.00522063
1.96,0.346019,-0.0556572,-0.942313,0.00523707
1.98,0.346967,-0.0556649,-0.95208,0.00532021
2.00001,0.347728,-0.0556594,-0.963297,0.00525475
2.02001,0.34847,-0.0556541,-0.975695,0.00525845
2.04,0.349538,-0.0555794,-0.989384,0.00529291
2.06,0.35013,-0.0556583,-1.00171,0.00528894
2.08,0.350876,-0.0557236,-1.01066,0.00529658
2.1,0.351596,-0.055767,-1.01494,0.00530017
2.12001,0.352125,-0.0557544,-1.01477,0.00529324
2.14,0.35229,-0.0557882,-1.01474,0.00531287
2.16001,0.352351,-0.055823,-1.01469,0.00527961
2.18001,0.352415,-0.0559514,-1.01474,0.00530744
2.2,0.352687,-0.0560732,-1.01471,0.00532837
2.22,0.353463,-0.0561026,-1.01478,0.00529328
2.24,0.354367,-0.0560372,-1.01471,0.00528751
2.26,0.355513,-0.0559939,-1.01487,0.00534665
2.28001,0.35742,-0.0560163,-1.01492,0.00566595
2.30001,0.360216,-0.0559662,-1.01522,0.00580845
2.32,0.364337,-0.0560038,-1.01721,0.00571546
2.34001,0.367843,-0.0560027,-1.02056,0.00570887
2.36001,0.372368,-0.0560122,-1.02248,0.00573456
2.38001,0.377428,-0.0560493,-1.02356,0.0057861
2.4,0.384081,-0.0559999,-1.0266,0.00576868
2.42,0.389958,-0.0560012,-1.0297,0.00576913
2.44,0.396727,-0.0560063,-1.03174,0.00572404
2.46,0.403149,-0.0560448,-1.03197,0.00575726
2.48001,0.409013,-0.0560609,-1.0319,0.00574857
2.50001,0.414831,-0.0560226,-1.03189,0.00575292
2.52,0.421079,-0.0559824,-1.03187,0.00569663
2.54,0.427116,-0.0560715,-1.03186,0.0057458
2.56,0.433737,-0.0559944,-1.03187,0.00576467
2.58,0.440984,-0.0560509,-1.03187,0.00575909
2.6,0.448361,-0.0560507,-1.03185,0.00574816
2.62,0.455922,-0.0559437,-1.03177,0.00569228
2.64,0.463267,-0.0560535,-1.03167,0.00569243
2.66001,0.47122,-0.0560541,-1.03132,0.00563532
2.68001,0.479306,-0.0561082,-1.03122,0.0056248
2.7,0.487276,-0.0568284,-1.03112,0.00559027
2.72001,0.496571,-0.0582491,-1.03118,0.00565315
2.74,0.505811,-0.0582439,-1.03121,0.00556971
2.76,0.514471,-0.0582693,-1.03121,0.00564008
2.78001,0.522821,-0.058288,-1.03124,0.00553956
2.80001,0.530562,-0.0582602,-1.03129,0.00561922
2.82001,0.538022,-0.058292,-1.03126,0.00562326
2.84,0.545601,-0.0582437,-1.0313,0.00553521
2.86001,0.552451,-0.0583039,-1.03123,0.00558937
2.88001,0.559708,-0.058967,-1.03128,0.00558529
2.9,0.566535,-0.0604008,-1.03124,0.00566461
2.92001,0.573986,-0.0612769,-1.03128,0.00568929
2.94,0.581842,-0.0620786,-1.03122,0.00564401
2.96001,0.59012,-0.0635862,-1.03127,0.00567187
2.98,0.59881,-0.064212,-1.0312,0.00562326
3,0.608034,-0.0646474,-1.03122,0.0056445
3.02,0.617471,-0.0645934,-1.0312,0.00563146
3.04,0.626691,-0.0649852,-1.03117,0.0056512
3.06,0.635571,-0.0652325,-1.03116,0.00568277
3.08001,0.644784,-0.0654752,-1.03118,0.00561094
3.1,0.654189,-0.0655394,-1.03119,0.00565026
3.12,0.663505,-0.0655158,-1.03118,0.00559352
3.14,0.672393,-0.0655663,-1.03112,0.00567723
3.16,0.682213,-0.06552,-1.0311,0.00558236
3.18,0.69236,-0.0655098,-1.03111,0.00564154
3.20001,0.703358,-0.0655838,-1.03108,0.00562948
3.22,0.714331,-0.0655206,-1.03117,0.00560719
3.24001,0.724744,-0.0655674,-1.03111,0.00558345
3.26,0.73494,-0.0655778,-1.03112,0.00563341
3.28001,0.744173,-0.0659026,-1.03109,0.00564831
