t_s,l_shoulder_pitch_rad,l_shoulder_roll_rad,l_shoulder_yaw_rad,l_elbow_rad,r_shoulder_pitch_rad,r_shoulder_roll_rad,r_shoulder_yaw_rad,r_elbow_rad
0,0.00914988,-0.00251553,-0.000574119,0.000234516,-0.0157421,-0.0139838,0.00437082,-0.00265552
0.0199907,0.0143433,-0.00256032,-0.000891608,0.000234516,-0.0220228,-0.0135352,0.0118252,-0.00316316
0.0400017,0.0202892,-0.00261524,-0.00126542,0.000240115,-0.0296516,-0.0116511,0.0248806,-0.00337172
0.0599959,0.0272471,-0.00274042,-0.00263269,0.000218937,-0.0372053,-0.00899645,0.0407572,-0.00338637
0.0799873,0.0352829,-0.00284917,-0.00441729,0.000218937,-0.045084,-0.00443458,0.0585684,-0.00337172
0.0999867,0.0434932,-0.0033991,-0.00718585,0.000218937,-0.0538632,0.00127475,0.0778669,-0.00327035
0.119974,0.0515031,-0.00497014,-0.0133019,0.000223862,-0.0618779,0.0085834,0.0983557,-0.0031732
0.139989,0.0593271,-0.00775321,-0.0228977,0.000251613,-0.0709031,0.0167475,0.119668,-0.00312062
0.15998,0.0668877,-0.011948,-0.0352048,0.000223862,-0.0793456,0.0250095,0.142081,-0.00311028
0.179987,0.0737457,-0.0177831,-0.050583,0.000211185,-0.0885339,0.0330226,0.164672,-0.00305748
0.199987,0.0795943,-0.0258782,-0.0704027,0.000211185,-0.0976359,0.0410409,0.188277,-0.00297085
0.219992,0.08501,-0.0359062,-0.096369,0.000236763,-0.106608,0.0485054,0.211521,-0.00280656
0.23999,0.0896021,-0.0468697,-0.12853,0.000242924,-0.116139,0.0550198,0.233998,-0.00264387
0.259986,0.0940678,-0.0596999,-0.166635,0.000242924,-0.125847,0.0600437,0.255969,-0.00249291
0.280012,0.0983685,-0.074148,-0.209683,0.000220135,-0.136092,0.0640061,0.276375,-0.00239052
0.299996,0.102834,-0.0903616,-0.255643,0.000210286,-0.145746,0.0664807,0.296619,-0.00231176
0.32,0.107166,-0.106953,-0.302945,0.000220135,-0.15589,0.0685997,0.317593,-0.00230011
0.339998,0.111862,-0.123776,-0.351306,0.00021581,-0.165654,0.0704504,0.337903,-0.00195657
0.360007,0.117738,-0.140593,-0.400886,0.00021581,-0.175682,0.0715806,0.357697,-0.00178876
0.380005,0.125102,-0.155669,-0.449524,0.00021581,-0.18602,0.0721862,0.376182,-0.00178876
0.399994,0.13381,-0.170004,-0.494257,0.000263391,-0.196371,0.0721862,0.392648,-0.00178876
0.419992,0.143535,-0.182858,-0.533764,0.000263391,-0.206831,0.0721862,0.409139,-0.00163663
0.439998,0.154459,-0.194056,-0.567759,0.000263391,-0.216227,0.0722297,0.426211,-0.00163645
0.459994,0.16659,-0.202681,-0.596672,0.00019407,-0.225621,0.0722297,0.443846,-0.00163663
0.479997,0.179081,-0.208968,-0.620793,0.000237419,-0.233772,0.0721683,0.462988,-0.00153612
0.499997,0.191726,-0.211789,-0.641352,0.000237419,-0.243027,0.0719524,0.485029,-0.00131003
0.520004,0.204716,-0.212196,-0.658833,0.000237419,-0.25135,0.0719455,0.509942,-0.00118749
0.540014,0.217395,-0.212196,-0.67341,0.000202327,-0.2606,0.0719524,0.537363,-0.000715009
0.560007,0.229137,-0.212198,-0.68749,0.000188602,-0.268813,0.0719565,0.566106,-0.000603968
0.579999,0.239051,-0.212202,-0.70338,0.000156038,-0.277641,0.0719565,0.595388,-0.000494761
0.599994,0.248021,-0.212224,-0.721233,0.000146882,-0.285794,0.0719514,0.625257,-8.72227e-05
0.619997,0.255697,-0.212206,-0.74091,0.000146882,-0.295177,0.0716089,0.656676,0.000575879
