Time,l_hip_yaw_pos_rad,l_hip_yaw_vel_rad_s,l_hip_roll_pos_rad,l_hip_roll_vel_rad_s,l_hip_pitch_pos_rad,l_hip_pitch_vel_rad_s,l_knee_pos_rad,l_knee_vel_rad_s,l_ankle_pos_rad,l_ankle_vel_rad_s,r_hip_yaw_pos_rad,r_hip_yaw_vel_rad_s,r_hip_roll_pos_rad,r_hip_roll_vel_rad_s,r_hip_pitch_pos_rad,r_hip_pitch_vel_rad_s,r_knee_pos_rad,r_knee_vel_rad_s,r_ankle_pos_rad,r_ankle_vel_rad_s,l_shoulder_pitch_pos_rad,l_shoulder_pitch_vel_rad_s,l_shoulder_roll_pos_rad,l_shoulder_roll_vel_rad_s,l_shoulder_yaw_pos_rad,l_shoulder_yaw_vel_rad_s,l_elbow_pos_rad,l_elbow_vel_rad_s,r_shoulder_pitch_pos_rad,r_shoulder_pitch_vel_rad_s,r_shoulder_roll_pos_rad,r_shoulder_roll_vel_rad_s,r_shoulder_yaw_pos_rad,r_shoulder_yaw_vel_rad_s,r_elbow_pos_rad,r_elbow_vel_rad_s,missed_ticks
4198.37,-0.000195198,0.028576,0.00202723,-0.0106117,-0.00202964,0.00195674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4198.41,-0.000195198,0.028576,0.00202723,-0.0106117,-0.00202964,0.00195674,0,0,0,0,0.00174082,0.010276,0.00497643,-0.00735602,0.00107248,-0.00248311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4198.42,-0.000195198,0.028576,0.00202723,-0.0106117,-0.00202964,0.00195674,0,0,0,0,0.00171625,-0.00415187,0.0049651,-0.00747305,0.00107362,-0.00529191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4198.42,-0.000195198,0.028576,0.00202723,-0.0106117,-0.00202964,0.00195674,0,0,0,0,0.00170652,-0.0163983,0.00500742,0.0138387,0.00110635,0.00556411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4198.43,-0.000195198,0.028576,0.00202723,-0.0106117,-0.00202964,0.00195674,0,0,0,0,0.00176809,0.01771,0.00495741,-0.0181442,0.00107294,-0.00378686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4198.45,-0.000195198,0.028576,0.00202723,-0.0106117,-0.00202964,0.00195674,0,0,0,0,0.0016839,-0.0114079,0.00489089,-0.00182736,0.0010509,-0.0058958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4198.46,-0.000195198,0.028576,0.00202723,-0.0106117,-0.00202964,0.00195674,0,0,0,0,0.00175131,0.0131691,0.00489943,-0.00434592,0.00103763,-0.00291379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4198.46,-0.000195198,0.028576,0.00202723,-0.0106117,-0.00202964,0.00195674,0,0,0,0,0.00169214,0.00047797,0.00490711,0.0144497,0.00103248,0.00154752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4198.47,-0.000195198,0.028576,0.00202723,-0.0106117,-0.00202964,0.00195674,0,0,0,0,0.00176535,0.0200881,0.00491374,0.00898887,0.00104205,0.00822077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4198.5,-0.000195198,0.028576,0.00202723,-0.0106117,-0.00202964,0.00195674,0,0,0,0,0.00169004,-0.00588397,0.00491104,0.0015947,0.00103405,0.00739218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4198.51,-0.000195198,0.028576,0.00202723,-0.0106117,-0.00202964,0.00195674,0,0,0,0,0.0016818,-0.00258363,0.00489782,0.000347119,0.00102053,-0.000584822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4198.51,-0.000195198,0.028576,0.00202723,-0.0106117,-0.00202964,0.00195674,0,0,0,0,0.00171292,0.00201345,0.00490724,0.0101967,0.000998099,-0.00979067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4198.52,-0.000195198,0.028576,0.00202723,-0.0106117,-0.00202964,0.00195674,0,0,0,0,0.00172314,0.00896523,0.00488498,0.000555438,0.00103377,0.0128764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4198.52,-0.000195198,0.028576,0.00202723,-0.0106117,-0.00202964,0.00195674,0,0,0,0,0.00173112,-0.00648318,0.00490215,0.000897176,0.0010228,0.00540729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4198.53,-0.000195198,0.028576,0.00202723,-0.0106117,-0.00202964,0.00195674,0,0,0,0,0.00176015,0.0232059,0.00493671,0.0151612,0.00100175,-0.000149456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4198.53,-0.000195198,0.028576,0.00202723,-0.0106117,-0.00202964,0.00195674,0,0,0,0,0.00172105,0.00334763,0.00492419,-0.00433422,0.00100673,-0.00862268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4198.54,-0.000195198,0.028576,0.00202723,-0.0106117,-0.00202964,0.00195674,0,0,0,0,0.00172985,0.00224283,0.00488625,-0.00804886,0.00100566,0.00792351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4198.54,-0.000195198,0.028576,0.00202723,-0.0106117,-0.00202964,0.00195674,0,0,0,0,0.00170431,-0.00459661,0.00490057,-0.00437401,0.000995814,-0.000870381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
